frame,near_player_position,far_player_position
306,"{1: [893, 684, 1023, 924]}","{2: [896, 170, 980, 274]}"
307,"{1: [886, 684, 1031, 923]}","{2: [904, 168, 985, 274]}"
308,"{1: [883, 686, 1035, 924]}","{2: [917, 167, 993, 274]}"
309,"{1: [879, 689, 1037, 927]}","{2: [933, 167, 1002, 274]}"
310,"{1: [878, 693, 1037, 932]}","{2: [949, 164, 1008, 273]}"
311,"{1: [877, 695, 1038, 937]}","{2: [956, 162, 1016, 273]}"
312,"{1: [877, 696, 1038, 941]}","{2: [961, 161, 1024, 273]}"
313,"{1: [877, 694, 1037, 943]}","{2: [966, 159, 1034, 273]}"
314,"{1: [878, 691, 1033, 944]}","{2: [972, 159, 1048, 270]}"
315,"{1: [878, 687, 1026, 944]}","{2: [983, 158, 1056, 270]}"
316,"{1: [878, 684, 1016, 943]}","{2: [994, 161, 1065, 273]}"
317,"{1: [880, 681, 1003, 942]}","{2: [1010, 163, 1075, 276]}"
318,"{1: [880, 680, 992, 940]}","{2: [1025, 165, 1083, 277]}"
319,"{1: [872, 681, 983, 941]}","{2: [1037, 168, 1089, 277]}"
320,"{1: [857, 683, 977, 943]}","{2: [1046, 168, 1097, 277]}"
321,"{1: [838, 688, 976, 945]}","{2: [1049, 170, 1111, 278]}"
322,"{1: [823, 693, 975, 948]}","{2: [1052, 168, 1125, 277]}"
323,"{1: [816, 697, 976, 951]}","{2: [1054, 168, 1136, 277]}"
324,"{1: [813, 699, 975, 953]}","{2: [1056, 168, 1143, 277]}"
325,"{1: [812, 699, 975, 953]}","{2: [1059, 168, 1147, 276]}"
326,"{1: [812, 698, 975, 953]}","{2: [1065, 168, 1148, 275]}"
327,"{1: [812, 696, 972, 952]}","{2: [1075, 167, 1149, 275]}"
328,"{1: [813, 693, 966, 951]}","{2: [1087, 167, 1152, 274]}"
329,"{1: [811, 692, 957, 950]}","{2: [1102, 168, 1158, 274]}"
330,"{1: [805, 693, 946, 953]}","{2: [1113, 168, 1159, 273]}"
331,"{1: [791, 696, 931, 957]}","{2: [1119, 168, 1165, 272]}"
332,"{1: [774, 701, 919, 965]}","{2: [1121, 168, 1175, 273]}"
333,"{1: [757, 708, 916, 972]}","{2: [1124, 171, 1188, 273]}"
334,"{1: [739, 717, 914, 978]}","{2: [1128, 173, 1200, 273]}"
335,"{1: [725, 725, 913, 980]}","{2: [1134, 175, 1206, 273]}"
336,"{1: [713, 730, 913, 981]}","{2: [1138, 175, 1209, 273]}"
337,"{1: [704, 732, 913, 981]}","{2: [1144, 175, 1209, 272]}"
338,"{1: [699, 732, 912, 980]}","{2: [1146, 174, 1210, 272]}"
339,"{1: [697, 731, 900, 979]}","{2: [1146, 173, 1209, 272]}"
340,"{1: [696, 729, 880, 979]}","{2: [1145, 172, 1209, 271]}"
341,"{1: [695, 725, 850, 978]}","{2: [1146, 170, 1209, 270]}"
342,"{1: [694, 721, 813, 978]}","{2: [1144, 168, 1209, 270]}"
343,"{1: [685, 717, 778, 977]}","{2: [1142, 165, 1208, 269]}"
344,"{1: [671, 713, 760, 974]}","{2: [1139, 163, 1208, 269]}"
345,"{1: [659, 710, 748, 969]}","{2: [1136, 161, 1206, 269]}"
346,"{1: [650, 708, 738, 966]}","{2: [1133, 158, 1200, 269]}"
347,"{1: [628, 707, 728, 963]}","{2: [1131, 156, 1192, 270]}"
348,"{1: [611, 706, 719, 962]}","{2: [1128, 155, 1184, 269]}"
349,"{1: [605, 707, 711, 961]}","{2: [1125, 154, 1172, 268]}"
350,"{1: [600, 707, 703, 961]}","{2: [1123, 154, 1164, 269]}"
351,"{1: [592, 707, 696, 962]}","{2: [1119, 156, 1158, 269]}"
