frame_num,near_player_serve_speed,near_player_number_of_shots,near_player_last_shot_speed,near_player_total_shot_speed,near_player_number_of_net_clearances,near_player_last_net_clearance,near_player_total_net_clearance,near_player_last_distance,near_player_total_distance,far_player_serve_speed,far_player_number_of_shots,far_player_last_shot_speed,far_player_total_shot_speed,far_player_number_of_net_clearances,far_player_last_net_clearance,far_player_total_net_clearance,far_player_last_distance,far_player_total_distance
182,0.0,3,129.71,365.8,2,0.98,1.93,0.0,14.1,142.56,2,114.23,189.54,2,1.0,3.15,0.04,27.06
183,0.0,3,129.71,365.8,2,0.98,1.93,0.0,14.1,142.56,2,114.23,189.54,2,1.0,3.15,0.0,27.06
184,0.0,3,129.71,365.8,2,0.98,1.93,0.0,14.1,142.56,2,114.23,189.54,2,1.0,3.15,0.0,27.06
185,0.0,3,129.71,365.8,3,1.18,3.11,0.08,14.18,142.56,2,114.23,189.54,2,1.0,3.15,0.04,27.1
186,0.0,3,129.71,365.8,3,1.18,3.11,0.12,14.3,142.56,2,114.23,189.54,2,1.0,3.15,0.04,27.14
187,0.0,3,129.71,365.8,3,1.18,3.11,0.08,14.38,142.56,2,114.23,189.54,2,1.0,3.15,0.08,27.22
188,0.0,3,129.71,365.8,3,1.18,3.11,0.06,14.44,142.56,2,114.23,189.54,2,1.0,3.15,0.12,27.34
189,0.0,3,129.71,365.8,3,1.18,3.11,0.04,14.48,142.56,2,114.23,189.54,2,1.0,3.15,0.17,27.51
190,0.0,3,129.71,365.8,3,1.18,3.11,0.06,14.54,142.56,2,114.23,189.54,2,1.0,3.15,0.11,27.62
191,0.0,3,129.71,365.8,3,1.18,3.11,0.08,14.62,142.56,2,114.23,189.54,2,1.0,3.15,0.14,27.76
192,0.0,3,129.71,365.8,3,1.18,3.11,0.08,14.7,142.56,2,114.23,189.54,2,1.0,3.15,0.0,27.76
