frame_num,player_1_last_player_distance,player_1_total_player_distance,player_2_last_player_distance,player_2_total_player_distance,player_1_number_of_shots,player_1_last_shot_speed,player_1_total_shot_speed,player_2_number_of_shots,player_2_last_shot_speed,player_2_total_shot_speed
302,0.12,21.31,0.04,35.6,4,112.92,513.16,3,112.72,347.39
303,0.06,21.37,0.0,35.6,4,112.92,513.16,3,112.72,347.39
304,0.09,21.46,0.0,35.6,4,112.92,513.16,3,112.72,347.39
305,0.08,21.54,0.0,35.6,4,112.92,513.16,3,112.72,347.39
306,0.04,21.58,0.08,35.68,4,112.92,513.16,3,112.72,347.39
307,0.06,21.64,0.12,35.8,4,112.92,513.16,3,112.72,347.39
308,0.04,21.68,0.16,35.96,4,112.92,513.16,3,112.72,347.39
309,0.09,21.77,0.2,36.16,4,112.92,513.16,3,112.72,347.39
310,0.08,21.85,0.21,36.37,4,112.92,513.16,3,112.72,347.39
311,0.08,21.93,0.12,36.49,4,112.92,513.16,3,112.72,347.39
312,0.08,22.01,0.12,36.61,4,112.92,513.16,3,112.72,347.39
313,0.04,22.05,0.12,36.73,4,112.92,513.16,3,112.72,347.39
314,0.0,22.05,0.31,37.04,4,112.92,513.16,3,112.72,347.39
315,0.04,22.09,0.16,37.2,4,112.92,513.16,3,112.72,347.39
316,0.04,22.13,0.31,37.51,4,112.92,513.16,3,112.72,347.39
317,0.06,22.19,0.37,37.88,4,112.92,513.16,3,112.72,347.39
318,0.04,22.23,0.23,38.11,4,112.92,513.16,3,112.72,347.39
319,0.04,22.27,0.16,38.27,4,112.92,513.16,3,112.72,347.39
320,0.09,22.36,0.16,38.43,4,112.92,513.16,3,112.72,347.39
321,0.09,22.45,0.12,38.55,4,112.92,513.16,3,112.72,347.39
322,0.06,22.51,0.16,38.71,4,112.92,513.16,3,112.72,347.39
323,0.06,22.57,0.14,38.85,4,112.92,513.16,3,112.72,347.39
324,0.04,22.61,0.06,38.91,4,112.92,513.16,3,112.72,347.39
325,0.0,22.61,0.09,39.0,4,112.92,513.16,3,112.72,347.39
326,0.0,22.61,0.14,39.14,4,112.92,513.16,3,112.72,347.39
327,0.0,22.61,0.09,39.23,4,112.92,513.16,4,100.12,447.51
328,0.06,22.67,0.17,39.4,4,112.92,513.16,4,100.12,447.51
329,0.04,22.71,0.16,39.56,4,112.92,513.16,4,100.12,447.51
