single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
,,"(752, 402)",-21,21,2.0,455
"(754, 387)","(754, 387)","(754, 387)",-15,15,6.0,456
"(755, 374)","(755, 374)","(755, 374)",-13,13,2.0,457
"(755, 361)","(755, 361)","(755, 361)",-13,13,0.0,458
"(757, 348)","(757, 348)","(757, 348)",-13,13,0.0,459
"(755, 340)","(755, 340)","(755, 340)",-8,8,5.0,460
"(757, 331)","(757, 331)","(757, 331)",-9,9,-1.0,461
"(756, 325)","(756, 325)","(756, 325)",-6,6,3.0,462
"(755, 319)","(755, 319)","(755, 319)",-6,6,0.0,463
"(754, 317)","(754, 317)","(754, 317)",-2,2,4.0,464
"(754, 315)","(754, 315)","(754, 315)",-2,2,0.0,465
"(753, 313)","(753, 313)","(753, 313)",-2,2,0.0,466
"(752, 311)","(752, 311)","(752, 311)",-2,2,0.0,467
"(749, 311)","(749, 311)","(749, 311)",3,3,5.0,468
"(748, 310)","(748, 310)","(748, 310)",-1,1,-4.0,469
"(746, 311)","(746, 311)","(746, 311)",2,2,3.0,470
